Tue Jan 17 13:12:14 JST 2023,,,,,,,,,,,,,,,,,,
WSCE-5000_SEED(0),,,,,,,,,,,,,,,W-SCE,SCE,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,utility,W-SCEÇ≈è„è∏Ç∑ÇÈå¯óp,
55,0,1058,1162,7576,7576,0,9796,4200,15196,0.064739009,0.155930856,0,0,0.779330135,4615.112175,606.1495257,4008.962649,
56,0,116,349,2928,2928,0,3393,2600,7223,0.183258608,0.515578781,0,0,0.301162611,-1080.497163,-1224.145821,143.6486581,
57,0,0,594,3141,3141,0,3735,2600,7515,0.434540668,0.196404316,0,0,0.369055016,-974.4588125,-1766.095914,791.6371018,
58,0,572,1698,1805,1805,0,4075,3000,8265,0.455886978,0.105076071,0,0,0.439036951,-1380.505952,-1058.417487,-322.0884642,
59,269,471,1888,7650,7650,269,10278,4600,16088,0.020121342,0.284932237,0,0,0.694946421,3611.904089,1442.02258,2169.881508,
60,0,0,625,738,738,0,1363,2600,5153,0.497943638,0.110688329,0,0,0.391368033,-677.6572244,-1497.167734,819.51051,
61,0,0,703,3462,3462,0,4165,3400,8775,0.095188767,0.410237782,0,0,0.49457345,-79.05638978,-12.69124155,-66.36514823,
62,0,345,581,1763,1763,0,2689,2600,6529,0.314878527,0.64803128,0,0,0.037090192,-2466.199679,-2313.910991,-152.2886881,
63,0,56,1257,5091,5091,0,6404,3400,11014,0.372748044,0.072361289,0,0,0.554890667,191.841527,106.3927722,85.4487548,
64,0,159,929,1060,1060,0,2148,2600,5948,0.233659821,0.440981569,0,0,0.32535861,-1303.573249,-1382.68473,79.11148119,
65,0,191,1872,1364,1872,0,3427,3000,7637,0.458284172,0.306821138,0,0,0.23489469,-2051.280412,-2748.626827,697.3464149,
66,0,106,740,876,876,0,1722,2600,5482,0.220687708,0.610423192,0,0,0.168889099,-1819.177683,-1830.750964,11.57328096,
67,0,0,1259,4742,4742,0,6001,3800,11021,0.085076977,0.523653745,0,0,0.391269278,-645.0322567,-619.8367471,-25.19550959,
68,0,118,1198,1022,1198,0,2338,2600,6148,0.799031641,0.03086172,0,0,0.170106638,-1744.588698,-7340.181993,5595.593295,
69,0,167,727,986,986,0,1880,2600,5670,0.307573683,0.515278677,0,0,0.17714764,-1743.295511,-1719.377754,-23.9177572,
70,52,477,1006,6260,6260,52,7795,4600,13595,0.130965204,0.092212429,0,0,0.776822367,3377.46232,899.2015536,2478.260766,
71,0,0,1273,3541,3541,0,4814,3400,9414,0.424335223,0.271661936,0,0,0.304002841,-1889.926289,-1184.806776,-705.1195124,
72,0,82,1309,1006,1309,0,2397,3000,6597,0.424662587,0.276185317,0,0,0.299152096,-1454.882078,-1207.039046,-247.8430323,
73,0,181,517,706,706,0,1404,2600,5194,0.613705074,0.384609485,0,0,0.001685441,-1860.436664,-2313.716954,453.28029,
74,0,616,1957,1338,1957,0,3911,3800,8881,0.46825625,0.484717308,0,0,0.047026441,-3581.245221,-3256.501099,-324.7441212,
75,0,189,521,1495,1495,0,2205,2600,5985,0.252243455,0.346455888,0,0,0.401300657,-857.0376451,-923.1376229,66.09997779,
76,0,279,747,844,844,0,1870,3000,6050,0.640360551,0.303062594,0,0,0.056576855,-2058.911145,-1667.689115,-391.2220299,
77,0,246,789,4256,4256,0,5291,3000,9521,0.191232911,0.285189821,0,0,0.523577268,360.9620573,-194.6652076,555.6272648,
78,0,178,2311,1784,2311,0,4273,3800,9263,0.525016452,0.092136248,0,0,0.3828473,-1708.752931,-1397.830652,-310.9222787,
79,0,82,651,893,893,0,1626,2600,5436,0.635689347,0.117911216,0,0,0.246399437,-1120.165344,-1127.004926,6.839581972,
80,0,203,762,836,836,0,1801,3000,5981,0.703865516,0.032841817,0,0,0.263292667,-1146.074576,-1361.209066,215.1344905,
81,0,264,2038,1835,2038,0,4137,3800,9137,0.439932477,0.384566341,0,0,0.175501182,-2923.681343,-2669.478994,-254.2023493,
82,0,160,915,1061,1061,0,2136,2600,5916,0.282840375,0.554822019,0,0,0.162337605,-1874.444093,-1832.006673,-42.43741961,
83,97,328,2376,5815,5815,97,8616,3400,13216,0.324715264,0.204966342,0,0,0.470318394,-805.3516988,-1492.632564,687.280865,
84,102,1245,4418,3056,4418,102,8821,4600,14631,0.236241412,0.206371011,0,0,0.557387577,-627.5073649,935.7441584,-1563.251523,
85,0,13,1181,2955,2955,0,4149,3000,8369,0.391015331,0.063581816,0,0,0.545402853,-201.402624,-703.8781637,502.4755397,
86,0,261,947,1048,1048,0,2256,3400,6856,0.41254988,0.401564739,0,0,0.185885381,-2101.224764,-2194.674382,93.44961839,
87,0,190,968,2164,2164,0,3322,2600,7102,0.416360777,0.579221632,0,0,0.004417591,-2879.567076,-3865.189137,985.6220614,
88,0,78,1027,3043,3043,0,4148,2600,7998,0.031669132,0.720050304,0,0,0.248280563,-1247.976597,-1295.621647,47.64504919,
89,0,170,471,1453,1453,0,2094,2600,5854,0.503982182,0.292943257,0,0,0.203074561,-1521.923819,-1760.768446,238.844627,
90,172,318,551,2039,2039,172,3080,2600,6890,0.472086688,0.241353457,0,0,0.286559856,-1546.538735,-1923.024813,376.4860773,
91,0,202,1379,898,1379,0,2479,2600,6269,0.167135733,0.414670176,0,0,0.418194091,-915.7822883,-600.714182,-315.0681063,
92,0,154,1034,1003,1034,0,2191,2600,5961,0.190262835,0.452067956,0,0,0.357669209,-1222.412594,-1562.386899,339.9743049,
93,169,343,1408,3981,3981,169,5901,2600,9751,0.198729392,0.408860815,0,0,0.392409793,-739.8741276,254.9300065,-994.8041342,
94,167,98,26,1589,1589,26,1880,2600,5700,0.043183668,0.227043116,0,0,0.729773216,469.13814,1295.412351,-826.2742113,
95,176,163,2264,4878,4878,163,7481,3000,11731,0.209457502,0.362242229,0,0,0.428300269,-634.2424948,-808.2058688,173.963374,
96,0,254,358,2229,2229,0,2841,2600,6651,0.139004725,0.466979061,0,0,0.394016214,-730.7958427,-1091.608465,360.8126226,
97,65,605,817,1897,1897,65,3384,4600,9154,0.597154672,0.281750898,0,0,0.121094429,-3094.980548,-3055.954699,-39.02584928,
98,0,141,1016,961,1016,0,2118,2600,5898,0.517651628,0.479620484,0,0,0.002727889,-2340.62787,-3191.252388,850.6245181,
99,0,200,995,3998,3998,0,5193,2600,9003,0.427495528,0.383891759,0,0,0.188612713,-2464.02922,-4408.186855,1944.157635,
100,185,376,1381,1136,1381,185,3078,2600,6878,0.401682179,0.49126986,0,0,0.107047962,-2385.650018,-3583.139012,1197.488993,
101,136,373,1303,4772,4772,136,6584,4200,11964,0.474850665,0.024000418,0,0,0.501148918,-903.8921475,-739.3852069,-164.5069406,
102,149,308,1392,1034,1392,149,2883,2600,6653,0.437039689,0.551688189,0,0,0.011272121,-2680.36347,-3505.271655,824.9081849,
103,0,29,473,2028,2028,0,2530,2600,6330,0.116142947,0.681523023,0,0,0.20233403,-1655.468102,-1651.09958,-4.368521516,
104,0,349,2722,6142,6142,0,9213,3400,13823,0.186587966,0.121153572,0,0,0.692258463,2120.894407,1730.549909,390.3444974,
105,0,106,504,2955,2955,0,3565,3000,7745,0.230575054,0.392217431,0,0,0.377207514,-884.0041569,-1175.841584,291.8374275,
106,0,75,738,1643,1643,0,2456,2600,6256,0.515223548,0.347557748,0,0,0.137218705,-1943.588845,-1832.667783,-110.9210618,
