Mon Jan 16 15:04:15 JST 2023,,,,,,,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,,,,,,,
VisitorId,sumWaitingTime,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],movingTime,travelTime,,,,,,,,,,,,
119,8072,0,870,3479,3723,2600,11892,8072,0,,,,,,,,,,
120,4393,0,829,2723,841,3000,8573,4393,0,,,,,,,,,,
121,8226,0,947,1071,6208,3000,12436,8226,0,,,,,,,,,,
122,4713,0,278,2340,2095,3400,9323,4713,0,,,,,,,,,,
123,5102,154,1311,1359,2278,4600,10892,5102,0,,,,,,,,,,
124,1527,0,137,691,699,3400,6097,1527,0,,,,,,,,,,
125,2527,153,0,1740,634,2600,6337,2527,0,,,,,,,,,,
126,2805,0,0,1691,1114,2600,6585,2805,0,,,,,,,,,,
127,1251,85,103,475,588,3000,5451,1251,0,,,,,,,,,,
128,1196,0,100,281,815,2200,4606,1196,0,,,,,,,,,,
129,2351,0,640,635,1076,2600,6111,2351,0,,,,,,,,,,
130,7783,0,589,1671,5523,2600,11573,7783,0,,,,,,,,,,
131,3049,65,238,981,1765,3400,7629,3049,0,,,,,,,,,,
132,2885,68,337,1090,1390,2600,6725,2885,0,,,,,,,,,,
133,4774,0,303,1576,2895,2600,8564,4774,0,,,,,,,,,,
134,3204,111,648,925,1520,2600,6964,3204,0,,,,,,,,,,
135,4903,0,862,3072,969,3800,9903,4903,0,,,,,,,,,,
136,4512,123,863,856,2670,2600,8322,4512,0,,,,,,,,,,
137,4568,0,80,1603,2885,2600,8358,4568,0,,,,,,,,,,
138,1255,114,219,336,586,3000,5435,1255,0,,,,,,,,,,
139,2344,55,0,379,1910,2600,6134,2344,0,,,,,,,,,,
140,3733,0,889,675,2169,2600,7553,3733,0,,,,,,,,,,
141,2329,108,0,1252,969,2600,6139,2329,0,,,,,,,,,,
142,2578,59,0,1292,1227,2600,6338,2578,0,,,,,,,,,,
143,5720,0,454,3067,2199,4200,11120,5720,0,,,,,,,,,,
144,3321,128,1108,1421,664,3000,7531,3321,0,,,,,,,,,,
145,8521,147,1168,2835,4371,2600,12331,8521,0,,,,,,,,,,
146,4118,86,673,687,2672,3000,8298,4118,0,,,,,,,,,,
147,2902,0,705,833,1364,2600,6642,2902,0,,,,,,,,,,
148,4146,50,0,990,3106,2200,7596,4146,0,,,,,,,,,,
149,3610,165,62,1896,1487,2600,7440,3610,0,,,,,,,,,,
150,2410,30,247,559,1574,2600,6210,2410,0,,,,,,,,,,
151,5065,41,112,2069,2843,2600,8895,5065,0,,,,,,,,,,
152,3487,119,877,889,1602,3400,8057,3487,0,,,,,,,,,,
153,976,0,0,430,546,2600,4746,976,0,,,,,,,,,,
154,4308,0,237,662,3409,3000,8558,4308,0,,,,,,,,,,
155,1043,66,0,225,752,2600,4823,1043,0,,,,,,,,,,
156,4958,46,190,1481,3241,3000,9198,4958,0,,,,,,,,,,
157,4876,558,1595,1722,1001,3800,9846,4876,0,,,,,,,,,,
158,5045,146,81,2970,1848,3400,9685,5045,0,,,,,,,,,,
159,13315,99,905,5120,7191,3400,17925,13315,0,,,,,,,,,,
160,7119,73,855,2406,3785,2600,10919,7119,0,,,,,,,,,,
161,1936,0,0,186,1750,2200,5346,1936,0,,,,,,,,,,
162,6409,101,901,882,4525,2600,10199,6409,0,,,,,,,,,,
163,4009,0,133,654,3222,3000,8219,4009,0,,,,,,,,,,
164,2060,0,228,468,1364,3400,6610,2060,0,,,,,,,,,,
165,4392,104,523,1794,1971,2600,8222,4392,0,,,,,,,,,,
166,5057,106,982,572,3397,3400,9667,5057,0,,,,,,,,,,
167,6816,0,1472,1584,3760,3800,11806,6816,0,,,,,,,,,,
168,4431,13,1108,637,2673,2600,8231,4431,0,,,,,,,,,,
169,4903,93,11,1759,3040,2600,8723,4903,0,,,,,,,,,,
170,8649,0,663,1740,6246,2600,12439,8649,0,,,,,,,,,,
171,10748,0,661,2335,7752,2600,14568,10748,0,,,,,,,,,,
172,3848,287,56,2090,1415,2600,7678,3848,0,,,,,,,,,,
173,7848,100,931,853,5964,3000,12048,7848,0,,,,,,,,,,
174,5508,0,533,2702,2273,3800,10518,5508,0,,,,,,,,,,
175,9976,0,1548,661,7767,3400,14576,9976,0,,,,,,,,,,
176,17028,285,1375,7115,8253,3000,21278,17028,0,,,,,,,,,,
177,1527,0,143,563,821,3000,5707,1527,0,,,,,,,,,,
178,7008,105,1045,3068,2790,3800,12008,7008,0,,,,,,,,,,
179,4587,279,276,2346,1686,2600,8397,4587,0,,,,,,,,,,
180,3832,0,295,499,3038,2600,7612,3832,0,,,,,,,,,,
181,6634,292,1489,1168,3685,3400,11244,6634,0,,,,,,,,,,
182,1878,0,629,629,620,3400,6438,1878,0,,,,,,,,,,
183,4189,68,16,1232,2873,2600,7999,4189,0,,,,,,,,,,
184,4672,0,1630,1179,1863,3800,9662,4672,0,,,,,,,,,,
185,3390,306,0,1781,1303,2600,7170,3390,0,,,,,,,,,,
186,3120,70,31,185,2834,2200,6530,3120,0,,,,,,,,,,
187,3536,0,322,1487,1727,2600,7306,3536,0,,,,,,,,,,
188,2362,0,279,543,1540,2600,6142,2362,0,,,,,,,,,,
189,5900,105,1229,2307,2259,3400,10520,5900,0,,,,,,,,,,
190,5187,131,1041,570,3445,3400,9797,5187,0,,,,,,,,,,
191,4019,0,769,584,2666,3000,8199,4019,0,,,,,,,,,,
192,4326,0,719,726,2881,3000,8506,4326,0,,,,,,,,,,
193,2122,0,673,831,618,3400,6692,2122,0,,,,,,,,,,
194,8214,120,1206,4066,2822,4200,13634,8214,0,,,,,,,,,,
195,2914,123,826,670,1295,3400,7504,2914,0,,,,,,,,,,
196,2792,0,730,623,1439,3400,7362,2792,0,,,,,,,,,,
197,5636,0,396,1939,3301,2600,9446,5636,0,,,,,,,,,,
198,10682,125,1029,6310,3218,3400,15272,10682,0,,,,,,,,,,
199,3133,0,83,1301,1749,3000,7343,3133,0,,,,,,,,,,
200,6074,107,1030,2701,2236,2600,9864,6074,0,,,,,,,,,,
201,1944,0,419,710,815,3000,6104,1944,0,,,,,,,,,,
202,3517,0,224,432,2861,3400,8087,3517,0,,,,,,,,,,
203,8922,115,1029,4330,3448,3000,13112,8922,0,,,,,,,,,,
204,5750,117,449,2931,2253,3800,10760,5750,0,,,,,,,,,,
205,12169,127,1139,7013,3890,5400,18779,12169,0,,,,,,,,,,
206,4949,0,1980,1907,1062,4200,10319,4949,0,,,,,,,,,,
207,15101,202,1263,2721,10915,3000,19351,15101,0,,,,,,,,,,
208,7791,249,1172,2562,3808,3000,11991,7791,0,,,,,,,,,,
209,4471,253,1174,1057,1987,2600,8231,4471,0,,,,,,,,,,
210,4411,121,737,2810,743,2600,8201,4411,0,,,,,,,,,,
211,6343,0,921,2928,2494,3000,10553,6343,0,,,,,,,,,,
212,2327,0,345,457,1525,3400,6877,2327,0,,,,,,,,,,
213,2679,0,427,1697,555,3400,7239,2679,0,,,,,,,,,,
214,14197,52,442,1717,11986,3400,18797,14197,0,,,,,,,,,,
215,4861,284,1169,580,2828,2600,8631,4861,0,,,,,,,,,,
216,6715,103,1043,3036,2533,3400,11335,6715,0,,,,,,,,,,
217,5672,278,669,2448,2277,3800,10672,5672,0,,,,,,,,,,
218,5511,281,432,538,4260,3000,9711,5511,0,,,,,,,,,,
219,5750,166,1648,2758,1178,4200,11130,5750,0,,,,,,,,,,
220,5764,286,422,562,4494,3000,9964,5764,0,,,,,,,,,,
221,5033,0,1197,1072,2764,2600,8853,5033,0,,,,,,,,,,
222,5571,295,1249,2879,1148,3800,10541,5571,0,,,,,,,,,,
223,4557,0,439,698,3420,2600,8357,4557,0,,,,,,,,,,
224,8339,309,1034,2285,4711,6200,15709,8339,0,,,,,,,,,,
225,5361,170,1229,1035,2927,3000,9541,5361,0,,,,,,,,,,
226,4246,340,1304,579,2023,3400,8796,4246,0,,,,,,,,,,
