Tue Jan 17 00:24:37 JST 2023,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
91,0,777,2841,634,4252,2600,8042,0.418194091,0.414670176,0.167135733,0,0,-4200.409297
92,0,559,565,1126,2250,3400,6820,0.357669209,0.452067956,0.190262835,0,0,-3639.379304
93,169,0,1716,8739,10624,2600,14474,0.392409793,0.408860815,0.198729392,0,0,-8108.40898
94,167,1093,918,3061,5239,2600,9059,0.729773216,0.227043116,0.043183668,0,0,-4804.794827
95,176,313,419,1162,2070,2200,5520,0.428300269,0.362242229,0.209457502,0,0,-2839.719872
96,0,294,1380,1393,3067,2600,6877,0.394016214,0.466979061,0.139004725,0,0,-3378.528782
97,558,481,832,1701,3572,3800,8542,0.121094429,0.281750898,0.597154672,0,0,-6604.097927
98,0,550,1485,1730,3765,2600,7545,0.002727889,0.479620484,0.517651628,0,0,-5162.965289
99,0,543,2018,9692,12253,2600,16063,0.188612713,0.383891759,0.427495528,0,0,-10176.05081
100,185,1137,2885,2253,6460,2600,10260,0.107047962,0.49126986,0.401682179,0,0,-6090.090621
101,136,669,577,1803,3185,2600,6965,0.501148918,0.024000418,0.474850665,0,0,-4965.895268
102,149,1088,2730,838,4805,2600,8575,0.011272121,0.551688189,0.437039689,0,0,-5236.167172
103,0,0,195,1665,1860,2600,5660,0.20233403,0.681523023,0.116142947,0,0,-2805.670235
104,0,177,1476,4751,6404,3000,10614,0.692258463,0.121153572,0.186587966,0,0,-6777.128578
105,0,561,514,626,1701,2600,5481,0.377207514,0.392217431,0.230575054,0,0,-2925.177176
106,0,207,580,1385,2172,2600,5972,0.137218705,0.347557748,0.515223548,0,0,-4278.604198
107,393,1759,8885,7488,18525,3000,22735,0.605920952,0.249581824,0.144497224,0,0,-15258.5755
108,0,826,543,1974,3343,2600,7133,0.311264839,0.41744181,0.271293351,0,0,-4061.042535
109,0,913,1076,1910,3899,3000,8089,0.422120017,0.263645214,0.314234769,0,0,-4978.626633
110,0,214,1256,644,2114,3400,6684,0.804532064,0.178489241,0.016978695,0,0,-2421.129802
111,0,932,2447,1997,5376,2600,9166,0.221058622,0.230254288,0.54868709,0,0,-6816.338167
112,0,0,77,1632,1709,2600,5509,0.728819642,0.171641344,0.099539015,0,0,-2240.180693
113,0,735,2778,752,4265,3000,8445,0.257086904,0.01336908,0.729544016,0,0,-7297.582102
114,0,757,815,3563,5135,2600,8925,0.041636976,0.366336349,0.592026675,0,0,-6450.118454
115,164,373,492,1276,2305,2200,5755,0.394493305,0.022513895,0.582992801,0,0,-4313.961204
116,170,197,300,449,1116,2600,4916,0.367012325,0.401065939,0.231921736,0,0,-2592.484451
117,0,820,1033,3219,5072,4200,10462,0.610239996,0.241769802,0.147990202,0,0,-5658.84392
118,0,332,472,1055,1859,3400,6459,0.505798208,0.1575774,0.336624393,0,0,-3650.298979
119,0,870,3479,3723,8072,2600,11892,0.562814365,0.058313695,0.37887194,0,0,-9200.198269
120,0,829,2723,841,4393,3000,8573,0.405787588,0.306964183,0.28724823,0,0,-5166.096493
121,0,947,1071,6208,8226,3000,12436,0.196074818,0.492424348,0.311500833,0,0,-6964.008865
122,0,278,2340,2095,4713,3400,9323,0.636934508,0.273303435,0.089762057,0,0,-4767.955673
123,154,1311,1359,2278,5102,4600,10892,0.408907533,0.308833187,0.28225928,0,0,-6581.246969
124,0,137,691,699,1527,3400,6097,0.315078563,0.270348965,0.414572472,0,0,-3927.95981
125,153,0,1740,634,2527,2600,6337,0.337556329,0.560256492,0.102187179,0,0,-2957.231876
126,0,0,1691,1114,2805,2600,6585,0.099971795,0.40020518,0.499823025,0,0,-4612.288972
127,85,103,475,588,1251,3000,5451,0.174299059,0.032770641,0.7929303,0,0,-4638.62311
128,0,100,281,815,1196,2200,4606,0.203376707,0.440811146,0.355812148,0,0,-2851.893814
